year,complaint_type,num_complaints
2015,DCA Literature Request,871
2018,Benefit Card Replacement,862
2011,Water Quality,852
2017,Recycling Enforcement,850
2016,EAP Inspection - F59,847
2011,Bridge Condition,835
2013,Recycling Enforcement,835
2015,Investigations and Discipline (IAD),823
2015,Elder Abuse,820
2010,Bridge Condition,818
2012,Derelict Bicycle,815
2011,HEAP Assistance,810
2013,Animal Abuse,805
2010,Unsanitary Pigeon Condition,795
2015,Broken Parking Meter,791
2014,Recycling Enforcement,789
2010,DHS Advantage - Third Party,788
2018,SAFETY,787
2018,Taxi Complaint,786
2016,Opinion for the Mayor,781
2013,Derelict Bicycle,771
2011,Elder Abuse,770
2013,Noise - Helicopter,769
2017,Unleashed Dog,768
2018,DOF Property - Payment Issue,764
2012,DOF Parking - Tax Exemption,758
2018,Animal Abuse,757
2014,Bridge Condition,754
2010,Taxi Compliment,744
2014,Taxi Compliment,731
2014,Elder Abuse,728
2012,Agency Issues,720
2013,Elder Abuse,719
2014,DOF Parking - Tax Exemption,717
2014,ELEVATOR,709
2016,Sweeping/Missed,705
2012,Taxi Compliment,695
2012,Unleashed Dog,691
2012,Noise - Helicopter,691
2015,Posting Advertisement,681
2017,Panhandling,679
2012,Elder Abuse,677
2017,Mosquitoes,676
2014,Request Xmas Tree Collection,674
2013,Plant,663
2013,Unleashed Dog,655
2016,Recycling Enforcement,652
2015,DOF Parking - Request Status,649
2011,Unsanitary Pigeon Condition,648
2016,Unsanitary Pigeon Condition,648
2018,Non-Residential Heat,644
2015,Unleashed Dog,644
2011,Taxi Compliment,644
2015,Urinating in Public,641
2012,Unsanitary Pigeon Condition,640
2011,EAP Inspection - F59,638
2016,DOF Parking - Request Status,637
2014,BEST/Site Safety,633
2017,Unsanitary Pigeon Condition,628
2012,Disorderly Youth,625
2016,DRIE,623
2017,DOF Parking - Request Copy,621
2015,Unsanitary Pigeon Condition,616
2015,DOF Parking - Request Copy,616
2016,Unleashed Dog,615
2015,Request for Information,613
2018,For Hire Vehicle Complaint,612
2010,DOF Property - City Rebate,611
2018,Food Establishment,607
2017,Request for Information,594
2015,Taxi Compliment,594
2016,Ferry Inquiry,588
2016,DOF Parking - Request Copy,571
2012,Snow,567
2018,Broken Parking Meter,563
2017,Ferry Inquiry,560
2014,Unleashed Dog,557
2017,Complaint,557
2010,Utility Program,549
2011,Found Property,548
2014,Unsanitary Pigeon Condition,548
2016,Day Care,541
2010,Found Property,539
2014,Ferry Inquiry,535
2017,DOF Parking - Request Status,535
2011,Ferry Inquiry,532
2018,Damaged Tree,530
2018,New Tree Request,525
2010,Eviction,524
2012,Ferry Inquiry,523
2017,Urinating in Public,518
2014,Disorderly Youth,517
2013,Unsanitary Pigeon Condition,516
2018,Maintenance or Facility,516
2013,Bridge Condition,515
2013,Disorderly Youth,514
2013,DOF Parking - Tax Exemption,513
2017,Day Care,511
2018,DOF Property - Request Copy,509
2018,DOT Literature Request,506
2017,For Hire Vehicle Report,504
2012,Found Property,499
2016,BEST/Site Safety,499
2015,Bridge Condition,498
2010,Noise - Helicopter,497
2017,BEST/Site Safety,497
2013,Bike/Roller/Skate Chronic,489
2010,Weatherization,489
2010,Ferry Inquiry,488
2014,Public Payphone Complaint,487
2014,Taxi Report,483
2010,DOF Parking - DMV Clearance,482
2010,HEAP Assistance,479
2013,Ferry Inquiry,479
2015,Ferry Inquiry,479
2015,Bike/Roller/Skate Chronic,478
2016,Urinating in Public,477
2014,Sweeping/Inadequate,475
2014,Emergency Response Team (ERT),475
2016,Elder Abuse,474
2010,DOF Parking - Address Update,473
2016,Panhandling,470
2018,Non-Emergency Police Matter,467
2012,Bridge Condition,464
2011,Indoor Sewage,463
2013,Homeless Person Assistance,458
2010,Cranes and Derricks,452
2016,DCA Literature Request,449
2015,BEST/Site Safety,442
2014,Mold,439
2018,SCRIE,438
2017,Forms,438
2016,Taxi Compliment,438
2011,Bike/Roller/Skate Chronic,437
2018,Air Quality,435
2010,Bike/Roller/Skate Chronic,434
2011,Weatherization,432
2014,Bike/Roller/Skate Chronic,432
2013,Public Payphone Complaint,430
2015,Public Payphone Complaint,427
2015,Sweeping/Inadequate,426
2016,Investigations and Discipline (IAD),425
2017,Bike/Roller/Skate Chronic,420
2014,Urinating in Public,417
2016,Request for Information,417
2016,For Hire Vehicle Report,412
2013,Mold,412
2018,Lead,412
2018,Housing - Low Income Senior,410
2011,Derelict Bicycle,409
2017,DCA Literature Request,405
2011,Utility Program,404
2013,Found Property,402
2011,Alzheimer's Care,401
2011,DHS Advantage - Third Party,401
2018,DOF Property - Update Account,399
2012,HEAP Assistance,397
2018,Other Enforcement,393
2011,DOF Parking - DMV Clearance,392
2014,Found Property,388
2016,Senior Center Complaint,386
2010,Alzheimer's Care,383
2015,For Hire Vehicle Report,378
2013,Urinating in Public,376
2017,Taxi Compliment,376
2012,Urinating in Public,374
2011,Urinating in Public,370
2016,Drug Activity,370
2010,Senior Center Complaint,365
2010,Posting Advertisement,365
2010,Urinating in Public,360
2018,DOF Parking - Payment Issue,359
2013,Request for Information,358
2017,Senior Center Complaint,357
2015,DOF Property - Update Account,357
2010,Plant,355
2010,Scaffold Safety,355
2011,City Vehicle Placard Complaint,355
2016,Cranes and Derricks,353
2013,Cranes and Derricks,352
2016,Bike/Roller/Skate Chronic,351
2014,Investigations and Discipline (IAD),351
2017,Bridge Condition,350
2010,Safety,350
2012,Utility Program,348
2012,Alzheimer's Care,348
2012,Bike/Roller/Skate Chronic,348
2013,City Vehicle Placard Complaint,347
2017,Mold,346
2016,Dead Tree,344
2011,DOT Literature Request,344
2016,City Vehicle Placard Complaint,343
2014,Fire Alarm - Reinspection,343
2015,Mold,343
2013,Fire Alarm - Reinspection,342
2013,DOF Property - RPIE Issue,340
2012,Cranes and Derricks,339
2010,City Vehicle Placard Complaint,338
2016,Bridge Condition,337
2010,Stalled Sites,336
2014,Senior Center Complaint,335
2017,Advocate-Personal Exemptions,330
2015,Senior Center Complaint,328
2015,Panhandling,327
2017,Public Payphone Complaint,327
2015,Found Property,326
2012,Mold,321
2018,Indoor Air Quality,320
2017,Cranes and Derricks,319
2013,Alzheimer's Care,316
2015,City Vehicle Placard Complaint,316
2016,Public Payphone Complaint,315
2015,Disorderly Youth,315
2017,DOF Property - Property Value,315
2014,Plant,315
2012,City Vehicle Placard Complaint,314
2013,OEM Literature Request,314
2016,Mold,313
2014,DOF Property - RPIE Issue,309
2018,Highway Condition,308
2010,Bus Stop Shelter Placement,308
2011,OEM Disabled Vehicle,303
2017,Fire Safety Director - F58,302
2014,Cranes and Derricks,302
2017,Sweeping/Inadequate,300
2015,Ferry Complaint,299
2017,Elder Abuse,298
2018,School Maintenance,298
2017,Found Property,296
2018,Plumbing,296
2016,Found Property,294
2011,Scaffold Safety,294
2014,City Vehicle Placard Complaint,293
2017,Ferry Complaint,293
2011,Cranes and Derricks,293
2012,Senior Center Complaint,290
2013,Miscellaneous Categories,288
2010,DOE Complaint or Compliment,287
2015,Illegal Animal Kept as Pet,286
2015,Fire Alarm - Reinspection,286
2016,Illegal Animal Kept as Pet,285
2017,Investigations and Discipline (IAD),285
2011,DOF Parking - Tax Exemption,285
2016,Scaffold Safety,284
2010,Ferry Complaint,283
2018,Street Sign - Missing,282
2013,Senior Center Complaint,280
2011,Senior Center Complaint,280
2013,Bus Stop Shelter Placement,280
2014,OEM Literature Request,280
2018,Special Enforcement,270
2016,Fire Alarm - Reinspection,269
2017,DOF Property - RPIE Issue,269
2018,Special Projects Inspection Team (SPIT),269
2018,Street Sign - Damaged,268
2014,Harboring Bees/Wasps,265
2018,Electrical,265
2014,CONSTRUCTION,264
2012,Fire Alarm - Reinspection,264
2017,DEP Literature Request,263
2018,Sidewalk Condition,261
2018,Root/Sewer/Sidewalk Condition,261
2017,Illegal Animal Kept as Pet,260
2016,Sweeping/Inadequate,260
2015,Cranes and Derricks,260
2012,Bus Stop Shelter Placement,259
2016,DEP Literature Request,256
2011,DOF Property - City Rebate,255
2014,Alzheimer's Care,254
2017,Question,253
2012,Illegal Animal Kept as Pet,251
2011,DOF Property - RPIE Issue,251
2011,Bus Stop Shelter Placement,251
2015,Plant,250
2017,Scaffold Safety,250
2015,Scaffold Safety,248
2012,Plant,246
2017,Illegal Fireworks,245
2016,DOF Property - RPIE Issue,244
2013,DPR Internal,244
2014,Illegal Animal Kept as Pet,242
2012,Weatherization,236
2017,Collection Truck Noise,236
2011,DOE Complaint or Compliment,236
2011,Safety,235
2013,Illegal Animal Kept as Pet,234
2017,Bus Stop Shelter Placement,234
2016,Ferry Complaint,234
2010,Miscellaneous Categories,233
2016,Disorderly Youth,232
2012,Illegal Fireworks,230
2016,Alzheimer's Care,228
2015,DOF Property - RPIE Issue,226
2015,Alzheimer's Care,225
2011,Mold,225
2012,Scaffold Safety,225
2014,Illegal Fireworks,223
2010,Illegal Animal Kept as Pet,223
2012,Beach/Pool/Sauna Complaint,223
2010,Teaching/Learning/Instruction,223
2015,Harboring Bees/Wasps,223
2017,LinkNYC,223
2016,Forms,223
2010,Discipline and Suspension,222
2011,Agency Issues,222
2011,Illegal Animal Kept as Pet,221
2014,Bus Stop Shelter Placement,217
2016,Plant,217
2016,DOF Property - Property Value,216
2018,HPD Literature Request,216
2011,Illegal Fireworks,215
2012,DOF Parking - DMV Clearance,215
2011,Posting Advertisement,214
2016,Illegal Fireworks,211
2018,Boilers,210
2010,Illegal Fireworks,209
2014,Scaffold Safety,204
2011,Ferry Complaint,204
2016,Collection Truck Noise,204
2014,Fire Alarm - New System,203
2014,Ferry Complaint,203
2015,DEP Literature Request,201
2014,DOF Property - Property Value,199
2012,Stalled Sites,199
2018,Food Poisoning,198
2015,Bus Stop Shelter Placement,198
2016,Complaint,198
2016,Bus Stop Shelter Placement,197
2012,OEM Literature Request,197
2011,Fire Alarm - Reinspection,196
2011,Teaching/Learning/Instruction,195
2011,Bike Rack Condition,195
2015,Collection Truck Noise,193
2013,Fire Alarm - New System,192
2013,Panhandling,188
2018,Traffic,188
2018,Overgrown Tree/Branches,187
2017,Harboring Bees/Wasps,187
2014,Collection Truck Noise,186
2012,Request for Information,186
2015,DOF Parking - DMV Clearance,185
2017,Alzheimer's Care,184
2013,Ferry Complaint,184
2011,Complaint,184
2015,Beach/Pool/Sauna Complaint,183
2012,Complaint,182
2010,Beach/Pool/Sauna Complaint,180
2012,Harboring Bees/Wasps,179
2013,Illegal Fireworks,178
2010,Home Delivered Meal - Missed Delivery,177
2016,Harboring Bees/Wasps,177
2012,Forensic Engineering,177
2018,Opinion for the Mayor,176
2012,Collection Truck Noise,175
2017,Emergency Response Team (ERT),173
2015,Illegal Fireworks,172
2016,Beach/Pool/Sauna Complaint,170
2017,Beach/Pool/Sauna Complaint,168
2016,Emergency Response Team (ERT),167
2012,Posting Advertisement,166
2014,Fire Alarm - Modification,166
2014,Complaint,166
2012,DOF Property - RPIE Issue,165
2014,Beach/Pool/Sauna Complaint,164
2011,Discipline and Suspension,163
2015,OEM Literature Request,163
2013,Scaffold Safety,162
2017,Poison Ivy,161
2017,Disorderly Youth,161
2015,Complaint,161
2012,Ferry Complaint,160
2018,Dead/Dying Tree,159
2012,Panhandling,156
2013,Home Repair,155
2013,DOF Parking - DMV Clearance,155
2011,Beach/Pool/Sauna Complaint,154
2018,Smoking,153
2018,Street Sign - Dangling,153
2011,Plant,153
2017,Plant,151
2016,Drinking Water,148
2012,Compliment,147
2013,Beach/Pool/Sauna Complaint,146
2010,Collection Truck Noise,146
2014,Panhandling,146
2016,Adopt-A-Basket,145
2013,Broken Parking Meter,145
2018,Hazardous Materials,144
2013,Complaint,144
2015,Drinking Water,143
2010,FHE,143
2018,Cable Complaint,143
2013,Emergency Response Team (ERT),141
2014,Poison Ivy,138
2017,Posting Advertisement,138
2011,Harboring Bees/Wasps,138
2017,Adopt-A-Basket,137
2013,Collection Truck Noise,137
2014,Compliment,137
2010,Panhandling,136
2012,Fire Alarm - New System,136
2014,Drinking Water,136
2015,Compliment,136
2012,Home Delivered Meal - Missed Delivery,135
2015,Bike Rack Condition,134
2015,Home Delivered Meal - Missed Delivery,134
2012,Miscellaneous Categories,134
2013,Bike Rack Condition,134
2010,Forensic Engineering,134
2010,Mold,133
2018,Agency Issues,133
2015,Emergency Response Team (ERT),133
2018,Housing Options,132
2013,Fire Alarm - Modification,132
2016,Poison Ivy,131
2015,Poison Ivy,131
2013,Home Delivered Meal - Missed Delivery,131
2016,Fire Alarm - New System,131
2010,Harboring Bees/Wasps,130
2013,Compliment,130
2012,DOF Property - City Rebate,129
2010,Home Delivered Meal Complaint,128
2014,Broken Parking Meter,128
2018,DOF Property - Owner Issue,127
2011,Miscellaneous Categories,127
2011,Home Delivered Meal - Missed Delivery,125
2011,Collection Truck Noise,125
2014,Home Delivered Meal - Missed Delivery,125
2014,Unsanitary Animal Facility,124
2013,Poison Ivy,124
2016,DOF Parking - DMV Clearance,123
2018,Homeless Encampment,123
2011,Summer Camp,122
2017,Pet Shop,121
2015,Fire Alarm - Modification,121
2014,Posting Advertisement,120
2017,Drinking Water,120
2015,DOF Property - Property Value,119
2017,DOF Parking - DMV Clearance,118
2015,Fire Alarm - New System,118
2010,Registration and Transfers,117
2013,Drinking Water,117
2016,Public Assembly,117
2016,ATF,116
2011,Panhandling,115
2017,Compliment,115
2012,Curb Condition,114
2013,DPR Literature Request,114
2017,Public Assembly,113
2013,Harboring Bees/Wasps,112
2010,Tattooing,112
2018,Drug Activity,110
2010,Municipal Parking Facility,110
2013,DOF Property - Property Value,110
2012,Poison Ivy,110
2016,Bike Rack Condition,109
2016,Home Delivered Meal Complaint,108
2013,Tattooing,107
2012,Bike Rack Condition,107
2015,Home Delivered Meal Complaint,106
2018,DRIE,106
2013,Posting Advertisement,106
2013,DOF Property - City Rebate,105
2017,Bike Rack Condition,105
2017,Special Natural Area District (SNAD),105
2014,DOF Parking - DMV Clearance,105
2017,OEM Literature Request,105
2018,Litter Basket / Request,105
2018,Unsanitary Animal Pvt Property,103
2010,Health,103
2015,ATF,102
2016,Fire Alarm - Modification,102
2017,Misc. Comments,101
2014,DPR Literature Request,101
2012,Summer Camp,100
2017,Tattooing,100
2012,Tattooing,100
2018,Asbestos,99
2017,Taxpayer Advocate Inquiry,99
2015,Municipal Parking Facility,98
2018,Vending,98
2014,Bike Rack Condition,98
2010,Animal Facility - No Permit,97
2010,Summer Camp,97
2015,Tattooing,96
2018,Taxi Report,96
2016,OEM Literature Request,93
2016,Compliment,92
2016,Special Natural Area District (SNAD),92
2011,Poison Ivy,91
2011,Request for Information,90
2013,DCA Literature Request,90
2010,Parking Card,90
2016,Home Delivered Meal - Missed Delivery,90
2011,Municipal Parking Facility,90
2010,Unsanitary Animal Facility,90
2015,Unsanitary Animal Facility,89
2015,Literature Request,89
2010,Highway Sign - Damaged,88
2017,Municipal Parking Facility,88
2010,Derelict Bicycle,88
2012,DCA Literature Request,88
2014,Municipal Parking Facility,87
2017,ATF,87
2010,Poison Ivy,87
2017,City Vehicle Placard Complaint,87
2011,Tattooing,87
2017,Highway Sign - Damaged,85
2017,Invitation,85
2018,Water Quality,84
2011,Unsanitary Animal Facility,83
2013,Special Natural Area District (SNAD),83
2014,Highway Sign - Damaged,82
2013,Unsanitary Animal Facility,82
2018,Indoor Sewage,81
2018,Illegal Tree Damage,81
2017,Home Delivered Meal - Missed Delivery,81
2018,ELEVATOR,81
2016,Tattooing,81
2012,Unsanitary Animal Facility,80
2018,Question,80
2016,Ferry Permit,79
2016,Highway Sign - Damaged,78
2013,ATF,77
2017,Home Delivered Meal Complaint,77
2013,DHS Advantage - Tenant,77
2014,Tattooing,77
2014,Animal Facility - No Permit,77
2011,Parking Card,75
2010,Special Natural Area District (SNAD),75
2013,Home Delivered Meal Complaint,74
2015,Animal Facility - No Permit,74
2016,Misc. Comments,74
2016,Literature Request,74
2017,Unsanitary Animal Facility,74
2017,Fire Alarm - Reinspection,74
2012,Home Delivered Meal Complaint,73
2011,Registration and Transfers,73
2012,Invitation,73
2012,Misc. Comments,73
2014,Miscellaneous Categories,73
2012,Fire Alarm - Modification,73
2011,Fire Alarm - New System,73
2018,OUTSIDE BUILDING,72
2015,Special Natural Area District (SNAD),72
2012,Drinking Water,70
2018,Curb Condition,69
2013,Invitation,69
2014,Misc. Comments,69
2014,Home Delivered Meal Complaint,69
2011,Animal Facility - No Permit,69
2016,Advocate-Personal Exemptions,69
2015,Misc. Comments,68
2016,Municipal Parking Facility,68
2013,Stalled Sites,68
2010,Drinking Water,68
2018,Industrial Waste,68
2011,Home Delivered Meal Complaint,67
2011,Fire Alarm - Modification,67
2017,Comments,67
2016,Invitation,67
2012,DPR Literature Request,67
2018,DCA / DOH New License Application Request,67
2016,DOR Literature Request,67
2018,Animal in a Park,67
2015,Miscellaneous Categories,65
2016,Unsanitary Animal Facility,65
2018,Derelict Bicycle,65
2012,ATF,65
2014,For Hire Vehicle Report,63
2015,Adopt-A-Basket,61
2011,Health,61
2012,Highway Sign - Damaged,61
2018,DOF Parking - Request Copy,61
2011,Special Natural Area District (SNAD),61
2016,Animal Facility - No Permit,60
2017,FCST,59
2017,Illegal Animal Sold,59
2011,DHS Income Savings Requirement,59
2011,Emergency Response Team (ERT),59
2013,Animal Facility - No Permit,59
2015,Public Toilet,58
2017,Animal Facility - No Permit,58
2013,Misc. Comments,57
2010,Public Toilet,57
2012,Animal Facility - No Permit,56
2013,Highway Sign - Damaged,56
2015,Ferry Permit,56
2017,Public Toilet,56
2017,Advocate - Other,56
2012,Special Natural Area District (SNAD),56
2014,Overflowing Recycling Baskets,55
2012,DHS Income Savings Requirement,55
2016,Illegal Animal Sold,55
2011,Highway Sign - Damaged,54
2018,Complaint,54
2011,Drinking Water,54
2012,Illegal Animal Sold,54
2016,Window Guard,53
2015,Illegal Animal Sold,53
2018,DPR Internal,53
2013,Adopt-A-Basket,53
2012,Public Toilet,53
2014,Illegal Animal Sold,53
2017,Ferry Permit,53
2018,Unsanitary Pigeon Condition,52
2015,Window Guard,52
2016,Taxpayer Advocate Inquiry,52
2016,LinkNYC,52
2013,Parking Card,51
2012,DHS Advantage - Third Party,51
2014,Special Natural Area District (SNAD),51
2013,Municipal Parking Facility,50
2018,DOF Property - Property Value,50
2017,FATF,50
2012,Window Guard,49
2017,Fire Alarm - New System,49
2014,Invitation,49
2015,Highway Sign - Damaged,49
2012,Municipal Parking Facility,49
2014,Parking Card,48
2012,Emergency Response Team (ERT),48
2012,Public Assembly,47
2017,EAP Inspection - F59,47
2014,ATF,46
2013,DFTA Literature Request,46
2013,DHS Advantage -Landlord/Broker,46
2018,FCST,45
2015,DOF Property - City Rebate,44
2016,OEM Disabled Vehicle,44
2013,Public Toilet,44
2014,Window Guard,43
2014,DOF Property - City Rebate,43
2011,Bereavement Support Group,42
2014,Open Flame Permit,42
2015,Stalled Sites,42
2013,Window Guard,42
2018,Recycling Enforcement,42
2018,Noise - Helicopter,41
2018,Drinking,41
2015,Invitation,41
2012,Adopt-A-Basket,41
2015,Parking Card,41
2017,Miscellaneous Categories,41
2018,Day Care,40
2012,Bereavement Support Group,39
2015,Highway Sign - Missing,39
2016,Public Toilet,39
2018,Sweeping/Missed,39
2012,Parking Card,39
2010,DOF Property - Property Value,39
2015,Overflowing Recycling Baskets,38
2018,Unleashed Dog,38
2013,Open Flame Permit,38
2013,Illegal Animal Sold,38
2010,Bereavement Support Group,37
2011,Compliment,37
2018,DOF Parking - Request Status,37
2011,Stalled Sites,37
2015,Open Flame Permit,37
2014,Ferry Permit,36
2011,OEM Literature Request,36
2010,Adopt-A-Basket,36
2015,Public Assembly,36
2011,Legal Services Provider Complaint,36
2013,Ferry Permit,36
2012,Forms,35
2017,Bereavement Support Group,35
2013,Highway Sign - Missing,35
2017,Highway Sign - Missing,35
2018,Vacant Lot,35
2016,Case Management Agency Complaint,34
2014,Home Care Provider Complaint,34
2010,Parent Leadership,34
2013,Public Assembly,34
2011,Highway Sign - Missing,33
2018,For Hire Vehicle Report,33
2014,Adopt-A-Basket,33
2010,Ferry Permit,33
2018,DOF Parking - Tax Exemption,33
2010,Home Care Provider Complaint,33
2017,Home Care Provider Complaint,33
2011,Public Toilet,33
2012,Highway Sign - Missing,32
2017,Cooling Tower,32
2016,Overflowing Recycling Baskets,32
2017,Rangehood,32
2010,Calorie Labeling,32
2010,Illegal Animal Sold,31
2016,Home Care Provider Complaint,31
2011,Case Management Agency Complaint,31
2010,Case Management Agency Complaint,31
2011,Parent Leadership,30
2017,Sweeping/Missed-Inadequate,30
2018,Violation of Park Rules,30
2017,Lifeguard,30
2016,Sweeping/Missed-Inadequate,30
2012,Transportation Provider Complaint,30
2016,Advocate - Other,30
2014,Highway Sign - Missing,29
2012,Ferry Permit,29
2016,Research Questions,29
2016,Miscellaneous Categories,29
2016,Open Flame Permit,29
2010,Highway Sign - Missing,29
2017,Transportation Provider Complaint,29
2016,Rangehood,29
2013,Bereavement Support Group,28
2014,Public Toilet,28
2014,Stalled Sites,28
2017,Case Management Agency Complaint,28
2012,Legal Services Provider Complaint,28
2017,Fire Alarm - Modification,27
2017,Advocate-Prop Refunds/Credits,27
2011,Home Care Provider Complaint,27
2010,Water Maintenance,27
2017,Advocate-Co-opCondo Abatement,27
2017,Sprinkler - Mechanical,27
2012,Home Care Provider Complaint,27
2011,Misc. Comments,26
2018,Taxi Compliment,26
2013,Transportation Provider Complaint,26
2016,Sprinkler - Mechanical,26
2014,Public Assembly,26
2015,Home Care Provider Complaint,25
2011,Adopt-A-Basket,25
2015,DFTA Literature Request,25
2017,Window Guard,25
2011,Illegal Animal Sold,25
2018,Mold,25
2018,Bus Stop Shelter Placement,24
2016,Highway Sign - Missing,24
2018,Bridge Condition,24
2018,Elder Abuse,24
2013,Case Management Agency Complaint,24
2017,Research Questions,24
2015,Day Care,24
2012,Case Management Agency Complaint,24
2015,Bereavement Support Group,23
2018,Request for Information,23
2015,FATF,23
2018,Senior Center Complaint,23
2018,Noise - Park,23
2012,Fire Alarm - Addition,23
2014,Case Management Agency Complaint,23
2013,Fire Alarm - Addition,23
2010,Legal Services Provider Complaint,22
2016,Highway Sign - Dangling,22
2017,Overflowing Recycling Baskets,22
2012,Open Flame Permit,22
2014,Fire Alarm - Addition,22
2015,Transportation Provider Complaint,22
2016,Bereavement Support Group,21
2018,Ferry Inquiry,21
2018,DEP Literature Request,21
2018,DCA Literature Request,21
2013,Home Care Provider Complaint,21
2018,Noise - House of Worship,20
2011,Ferry Permit,20
2012,DFTA Literature Request,20
2018,Advocate-Personal Exemptions,20
2017,Open Flame Permit,20
2011,Forensic Engineering,20
2013,Fire Alarm - Replacement,20
2018,BEST/Site Safety,20
2018,Forms,20
2012,Fire Alarm - Replacement,20
2014,Legal Services Provider Complaint,19
2017,Tunnel Condition,19
2016,Parking Card,19
2015,Case Management Agency Complaint,19
2014,Lifeguard,19
2011,Radioactive Material,19
2015,Fire Alarm - Addition,19
2011,Invitation,18
2018,Alzheimer's Care,18
2010,Bottled Water,18
2018,Found Property,18
2013,Legal Services Provider Complaint,18
2011,X-Ray Machine/Equipment,18
2013,DHS Income Savings Requirement,18
2015,Lifeguard,17
2011,Lifeguard,17
2012,X-Ray Machine/Equipment,17
2010,Bike Rack Condition,17
2011,Calorie Labeling,17
2013,Tunnel Condition,17
2011,Bottled Water,17
2013,Calorie Labeling,17
2015,Bottled Water,16
2016,Fire Alarm - Addition,16
2018,Cranes and Derricks,16
2018,Ferry Complaint,16
2014,DFTA Literature Request,16
2016,DFTA Literature Request,16
2018,Home Delivered Meal - Missed Delivery,16
2016,Advocate-Co-opCondo Abatement,16
2012,Calorie Labeling,16
2016,Legal Services Provider Complaint,16
2014,Bereavement Support Group,16
2013,STRUCTURAL,16
2017,Advocate-Property Value,16
2015,Foam Ban Enforcement,16
2016,DOF Property - City Rebate,15
2015,Highway Sign - Dangling,15
2017,Highway Sign - Dangling,15
2011,DOF Parking - Address Update,15
2016,Bottled Water,15
2010,Highway Sign - Dangling,15
2010,No Child Left Behind,15
2013,HPD Literature Request,15
2017,Legal Services Provider Complaint,15
2014,Transportation Provider Complaint,15
2014,Fire Alarm - Replacement,15
2013,Bottled Water,14
2014,Highway Sign - Dangling,14
2014,DEP Literature Request,14
2014,Tunnel Condition,14
2014,Bottled Water,14
2016,Fire Alarm - Replacement,14
2013,X-Ray Machine/Equipment,14
2018,DOF Property - RPIE Issue,14
2016,Tunnel Condition,14
2012,Highway Sign - Dangling,14
2018,Bike/Roller/Skate Chronic,14
2011,Public Assembly,13
2017,Calorie Labeling,13
2016,Transportation Provider Complaint,13
2015,DHS Income Savings Requirement,13
2018,Emergency Response Team (ERT),13
2018,Collection Truck Noise,13
2015,Legal Services Provider Complaint,13
2016,Lifeguard,13
2018,Urinating in Public,13
2018,Panhandling,13
2013,Highway Sign - Dangling,13
2014,DHS Advantage - Tenant,12
2010,Lifeguard,12
2016,Tanning,12
2016,Advocate-Prop Refunds/Credits,12
2012,Standpipe - Mechanical,12
2018,Investigations and Discipline (IAD),12
2015,Advocate-Personal Exemptions,12
2016,X-Ray Machine/Equipment,12
2018,Scaffold Safety,12
2014,X-Ray Machine/Equipment,12
2015,Tunnel Condition,12
2018,Overflowing Litter Baskets,12
2014,Sprinkler - Mechanical,11
2017,Bottled Water,11
2012,Bottled Water,11
2011,Sprinkler - Mechanical,11
2015,Calorie Labeling,11
2017,Hazmat Storage/Use,11
2011,Fire Alarm - Addition,11
2017,Fire Alarm - Addition,11
2017,Tanning,11
2017,Parking Card,11
2013,Lifeguard,10
2010,Transportation Provider Complaint,10
2017,Standpipe - Mechanical,10
2018,Beach/Pool/Sauna Complaint,10
2018,OEM Literature Request,10
2016,Standpipe - Mechanical,10
2018,Compliment,10
2015,Advocate-SCRIE/DRIE,10
2018,Taxpayer Advocate Inquiry,9
2012,Radioactive Material,9
2018,Municipal Parking Facility,9
2018,Tattooing,9
2014,Hazmat Storage/Use,9
2018,LinkNYC,9
2011,Squeegee,9
2015,Hazmat Storage/Use,9
2011,Transportation Provider Complaint,9
2018,Sweeping/Inadequate,9
2010,Portable Toilet,9
2016,Calorie Labeling,9
2016,Radioactive Material,9
2014,DHS Income Savings Requirement,9
2018,DOF Parking - DMV Clearance,9
2014,Radioactive Material,8
2015,X-Ray Machine/Equipment,8
2012,DOF Property - Property Value,8
2010,Squeegee,8
2015,Fire Alarm - Replacement,8
2014,Calorie Labeling,8
2011,No Child Left Behind,8
2018,Advocate - Other,8
2010,Tunnel Condition,7
2015,Taxpayer Advocate Inquiry,7
2018,Public Payphone Complaint,7
2017,X-Ray Machine/Equipment,7
2012,Lifeguard,7
2016,Advocate-Property Value,7
2010,DOF Property - State Rebate,7
2016,SRDE,7
2015,SRDE,7
2011,Lost Property,7
2015,Sprinkler - Mechanical,7
2018,Posting Advertisement,7
2018,SRGDBR,6
2012,Trans Fat,6
2018,Invitation,6
2014,DHS Advantage -Landlord/Broker,6
2015,Rangehood,6
2012,Rangehood,6
2017,Advocate-Commercial Exemptions,6
2018,Public Assembly,6
2018,Advocate-Prop Refunds/Credits,6
2017,Gas Station Discharge Lines,6
2016,Hazmat Storage/Use,6
2012,Sprinkler - Mechanical,6
2017,Radioactive Material,6
2010,Radioactive Material,6
2012,Building Condition,6
2018,Illegal Animal Kept as Pet,6
2011,Highway Sign - Dangling,6
2012,FATF,5
2016,Healthcare Facilities,5
2014,Public Assembly - Temporary,5
2016,FATF,5
2017,Advocate-Prop Class Incorrect,5
2013,Radioactive Material,5
2013,Sprinkler - Mechanical,5
2013,Building Condition,5
2016,Advocate-UBT,5
2016,Public Assembly - Temporary,5
2016,Squeegee,5
2013,Summer Camp,5
2017,Interior Demo,5
2018,Home Delivered Meal Complaint,5
2012,Squeegee,5
