id,name,rating,address,city,lat-long
285,verde-tea-cafe-mountain-view,3.5,852 Villa St,      Mountain View,37.3941710599454-122.079548804006
286,teafans-sunnyvale,3.5,927 E Arques Ave,      Sunnyvale,37.3813698999999-122.00808
287,85-c-bakery-cafe-san-jose-5,3.5,1183 S De Anza Blvd,      San Jose,37.3035809397697-122.032403200865
288,matcha-love-san-jose-6,4,675 Saratoga Ave,      San Jose,37.31496320599-121.978095221495
289,bambu-sunnyvale-2,3.5,189 W Washington Ave,      Sunnyvale,37.3763175470854-122.031325878136
290,icicles-cupertino,4,19622 Stevens Creek Blvd,      Cupertino,37.3225177360044-122.017925500033
291,sunnywich-cafe-sunnyvale,4.5,223 East Maude Ave,      Sunnyvale,37.3878822408982-122.024536281978
292,ocha-tea-café-and-restaurant-mountain-view-2,3.5,1350 Grant Rd,      Mountain View,37.3770405227974-122.076683293475
293,bubble-bay-tea-santa-clara,3.5,4300 Great America Pkwy,      Santa Clara,37.3928752137833-121.977391160277
294,jazen-tea-san-jose-4,3.5,1089 S De Anza Blvd,      San Jose,37.3065638999999-122.0328361
295,comebuy-tea-and-coffee-santa-clara,3.5,2712 Augustine Dr,      Santa Clara,37.3822051-121.9761898
296,music-tunnel-ktv-cafe-san-jose-2,3.5,1132 S De Anza Blvd,      San Jose,37.30529-122.031669999999
297,jazen-tea-santa-clara-3,3.5,3147 Mission College Blvd,      Santa Clara,37.3882893-121.983559599999
298,butterfly-santa-clara,4,1000 Lafayette St,      Santa Clara,37.3503116-121.9438457
299,quickly-cupertino,3,21265 Stevens Creek Blvd,      Cupertino,37.32349-122.047397
300,california-mochi-santa-clara-4,4,3030 El Camino Real,      Santa Clara,37.3517723083496-121.98119354248
301,t4-livermore-livermore-2,4,4010 E Ave,      Livermore,37.68077-121.748039999999
302,orange-tea-livermore,4.5,6033 Northfront Rd,      Livermore,37.7119101458667-121.723351532745
303,big-fat-straw-cafe-livermore-2,4,980 Murrieta Blvd,      Livermore,37.6761474995967-121.785110675949
304,donut-wheel-livermore,4,2017 1st St,      Livermore,37.6807479858397-121.770835876465
305,t4-san-ramon-3,3,11020 Bollinger Canyon Rd,      San Ramon,37.7749533109683-121.924073739228
306,saigon-cafe-livermore,4,2011 2nd St,      Livermore,37.68-121.77058
307,rice-paper-bistro-livermore,3.5,1548 N Vasco Rd,      Livermore,37.7181756552264-121.724808264734
308,menchies-frozen-yogurt-livermore,4,973 E Stanley Blvd,      Livermore,37.6783516-121.784120699999
309,la-farfalla-bakery-fremont,4,39947 Mission Blvd,      Fremont,37.5566932750951-121.952448293212
310,ice3-creamery-fremont,4,39957 Mission Blvd,      Fremont,37.556529-121.952556
311,yogurt-shop-danville,4,3450 Camino Tassajara Rd,      Danville,37.7986554-121.918740599999
312,bean-scene-cafe-fremont-2,4,4000 Bay St,      Fremont,37.5327289999999-121.95934
313,yogurtland-san-ramon,4,152 Sunset Dr,      San Ramon,37.7624177187681-121.960900202394
314,chilly-and-munch-mountain-view,4.5,2101 Showers Dr,      Mountain View,37.4068109566105-122.106984711639
315,jazen-tea-mountain-view-3,3,220 Castro St,      Mountain View,37.3936614990234-122.079444885254
316,t4-palo-alto-2,3.5,165 University Ave,      Palo Alto,37.44451-122.16337
317,pearl-cafe-mountain-view,3.5,506A Showers Dr,      Mountain View,37.402982863672-122.10676106228
318,tapioca-express-mountain-view,3,740 Villa St,      Mountain View,37.39379-122.078389999999
319,teaspoon-palo-alto-7,4.5,2675 Middlefield Rd,      Palo Alto,37.4340849999999-122.129446
320,teaspoon-milpitas,4,201 W Calaveras Blvd,      Milpitas,37.42868-121.911319999999
321,teasociety-milpitas,3.5,55 N Milpitas Blvd,      Milpitas,37.4341782-121.9007438
322,t4-milpitas,3.5,540 Barber Ln,      Milpitas,37.4207404131486-121.91664888892
323,bcute-tea-drinks-and-finger-foods-milpitas-2,4,200 Serra Way,      Milpitas,37.4264901499098-121.909996320473
324,poke-xpress-milpitas,4.5,1236 S Abel St,      Milpitas,37.4128099773883-121.902977563441
325,happy-lemon-milpitas-6,4,279 W Calaveras Blvd,      Milpitas,37.4274706596526-121.91078242325
326,yummi-tea-cafe-san-jose-3,4,2191 Morrill Ave,      San Jose,37.414925-121.875899
327,sno-crave-tea-house-milpitas,3.5,1777 N Milpitas Blvd,      Milpitas,37.4558077007532-121.911192834377
328,sancha-bar-milpitas,3.5,279 Jacklin Rd,      Milpitas,37.4464966-121.904016099999
329,chick-and-tea-milpitas-4,3.5,1723 N Milpitas Blvd,      Milpitas,37.4551887512207-121.911521911621
330,t4-san-jose,3.5,1671 N Capitol Ave,      San Jose,37.3973731994629-121.873687744141
331,queens-cafe-milpitas,3.5,372 Barber Ln,      Milpitas,37.4224649523506-121.916673478539
332,the-pennywort-san-jose-5,4,2056 N Capitol Ave,      San Jose,37.40685-121.88672
333,bambu-san-jose-9,4,1688 Hostetter Rd,      San Jose,37.3862088776267-121.884416049074
334,black-pearl-san-jose-2,3,1055 E Brokaw Rd,      San Jose,37.3843159241917-121.89744169577
335,happiness-cafe-san-jose,4.5,1688 Hostetter Rd,      San Jose,37.3863881481701-121.884803238097
336,85-c-bakery-cafe-milpitas-2,3.5,672 Barber Ln,      Milpitas,37.419465-121.915568
337,simpletea-milpitas,3.5,1535 Landess Ave,      Milpitas,37.416848-121.8768983
338,bambu-milpitas-7,3.5,89 S Park Victoria Dr,      Milpitas,37.433926-121.884259
339,fantasia-coffee-and-tea-santa-clara,3,3969 Rivermark Plz,      Santa Clara,37.3953035880334-121.946540661156
340,shihlin-taiwan-street-snacks-milpitas,4,522 Barber Ln,      Milpitas,37.420773-121.916405
341,quickly-milpitas-2,2.5,1350 S Park Victoria Dr,      Milpitas,37.4178751788897-121.874392975463
342,honeyberry-san-jose-9,4.5,3655 N 1st St,      San Jose,37.4093138578249-121.945219193046
343,aroma-coffee-and-snacks-milpitas,4,1535 Landess Ave,      Milpitas,37.4168459526991-121.876774057745
344,teatime-redwood-city,4,1003 El Camino Real,      Redwood City,37.4846042071457-122.232427139501
345,comebuy-drinks-redwood-city,4,2074 Broadway,      Redwood City,37.4868-122.22766
346,teaspoon-redwood-city,4,2361 Broadway St,      Redwood City,37.4861601263273-122.230740152299
347,davidstea-palo-alto-2,4.5,318 University Ave,      Palo Alto,37.4461057-122.1610267
348,pokélove-palo-alto,3.5,855 El Camino Real,      Palo Alto,37.438632-122.160532
349,bare-bowls-palo-alto,4,530 Emerson St,      Palo Alto,37.44413-122.16237
350,tea-time-palo-alto,3.5,542 Ramona St,      Palo Alto,37.4446105957031-122.161544799804
351,chantal-guillon-macarons-and-teas-palo-alto-2,4.5,444 University Ave,      Palo Alto,37.44752-122.15965
352,happy-donuts-palo-alto,3.5,3916 El Camino Real,      Palo Alto,37.41643-122.13004
353,quickly-sunnyvale-4,3.5,415 N Mary Ave,      Sunnyvale,37.390076192143-122.042184743589
354,fraiche-palo-alto-2,4,200 Hamilton Ave,      Palo Alto,37.4438754674247-122.161595821381
355,quickly-redwood-city,3,300 Walnut St,      Redwood City,37.4917931901457-122.224192531476
356,coupa-café-palo-alto-3,3.5,538 Ramona St,      Palo Alto,37.444682-122.161533
357,cream-palo-alto-3,3.5,440 University Ave,      Palo Alto,37.447555-122.159804
358,ohana-express-redwood-city-2,4,640 Woodside Rd,      Redwood City,37.46868-122.223999999999
359,yogurtland-palo-alto,4,494 University Ave,      Palo Alto,37.4480657-122.159221
360,coupa-café-lytton-palo-alto,3.5,111 Lytton Ave,      Palo Alto,37.4444718383711-122.165222240072
361,green-bakery-and-café-los-altos-11,3.5,692 Fremont Ave,      Los Altos,37.3604672926655-122.096757004484
362,wild-berry-yogurt-menlo-park,3.5,325 Sharon Park Dr,      Menlo Park,37.42398-122.19693
363,the-posh-bagel-los-altos,3.5,310 Main St,      Los Altos,37.3783798-122.117019699999
364,paris-baguette-palo-alto,3.5,383 University Ave,      Palo Alto,37.4471969604492-122.160781860352
365,taza-deli-and-cafe-redwood-city,5,1796 Broadway,      Redwood City,37.4868656-122.223413299999
366,rojoz-gourmet-wraps-palo-alto-2,3.5,3906 Middlefield Rd,      Palo Alto,37.41883-122.1099
367,froyola-redwood-city,4,2206 Broadway St,      Redwood City,37.4867482944358-122.229360103705
368,mr-green-bubble-sunnyvale,5,1255 S Mary Ave,      Sunnyvale,37.35338-122.05071
369,coupa-cafe-green-library-stanford,3.5,571 Escondido Mall,      Stanford,37.426249336151-122.16706752777
370,dohatsuten-palo-alto,3.5,799 San Antonio Rd,      Palo Alto,37.4203109741211-122.102348327637
371,panda-express-mountain-view-2,2,1035 El Monte Ave,      Mountain View,37.390983766688-122.095294088778
372,nekter-juice-bar-mountain-view,3.5,685 San Antonio Rd,      Mountain View,37.4015598999999-122.1132477
373,green-leaf-asian-bistro-and-cafe-redwood-city-2,4,865 Middlefield Rd,      Redwood City,37.4857502210641-122.228834925786
374,koma-sushi-restaurant-menlo-park-3,3.5,211 El Camino Real,      Menlo Park,37.4483544-122.174376799999
375,the-axe-and-palm-stanford,2.5,Old Union Stanford University,      Stanford,37.425371754743-122.170543670654
376,cocohodo-sunnyvale-2,4,1082 E El Camino Real,      Sunnyvale,37.3517264451999-122.002505609904
377,hotpot-first-sunnyvale,3.5,1149 N Lawrence Expy,      Sunnyvale,37.3973885-121.9967194
378,bean-scene-sunnyvale,3.5,186 S Murphy Ave,      Sunnyvale,37.3761833999999-122.0301825
379,sharetea-santa-clara-7,3.5,2855 Stevens Creek Blvd,      Santa Clara,37.3255099999999-121.94462
380,jazen-tea-santa-clara-santa-clara,2.5,3484 El Camino Real,      Santa Clara,37.3515863912687-121.99270148474
381,honeyberry-santa-clara,3.5,3488 El Camino Real,      Santa Clara,37.3515681496377-121.992844729458
382,world-wrapps-2-0-santa-clara,4.5,3125 Mission College Blvd,      Santa Clara,37.38919-121.983389999999
383,youji-fresh-rolls-wine-and-tea-santa-clara,2.5,2855 Stevens Creek Blvd,      Santa Clara,37.326036489104-121.944165208983
384,frozos-frozen-yogurt-santa-clara,3.5,1000 Lafayette St,      Santa Clara,37.3503848-121.9437883
385,cool-tea-bar-south-san-francisco-4,3.5,630 El Camino Real,      South San Francisco,37.6492551499593-122.429556883872
386,tiger-tea-and-juice-burlingame-3,4.5,1803 El Camino Real,      Burlingame,37.594114-122.384605
387,aqua-club-dessert-and-beverage-san-bruno,4.5,440 San Mateo Ave,      San Bruno,37.622566-122.410941999999
388,bobabia-san-mateo,4,271 - 273 Baldwin Ave,      San Mateo,37.5671987999999-122.3253964
389,happy-lemon-burlingame-4,4,1419 Burlingame Ave,      Burlingame,37.5773026-122.3486125
390,eggettes-south-san-francisco,4,639 El Camino Real,      South San Francisco,37.6492265-122.430214299999
391,tpumps-burlingame,4,1118 Burlingame Ave,      Burlingame,37.5794379623736-122.345903012389
392,teaspoon-san-mateo,4,128 E 3rd Ave,      San Mateo,37.564318-122.323843099999
393,cha-express-san-mateo,4,212 E 3rd Ave,      San Mateo,37.5649712999999-122.3228903
394,search-tea-millbrae-5,4,105 Park Blvd,      Millbrae,37.61218-122.404
395,tea-world-pacifica,4,90 Eureka Sq,      Pacifica,37.6337492-122.4887216
396,t4-millbrae-10,3.5,315 Broadway,      Millbrae,37.601183-122.392173
397,i-tea-burlingame-2,5,346 Lorton Ave,      Burlingame,37.5801206-122.346889099999
398,boba-dude-half-moon-bay,3.5,80 Cabrillo Hwy N,      Half Moon Bay,37.4702203984019-122.435569055378
399,eggettes-millbrae-2,4,979 Broadway,      Millbrae,37.6048409390981-122.397278312931
400,gong-cha-san-mateo-2,3.5,110 S B St,      San Mateo,37.5667191-122.3239517
401,bambu-south-san-francisco,3.5,2223 Gellert Blvd,      South San Francisco,37.649195-122.4530236
402,super-cue-cafe-san-mateo-2,3.5,2986 S Norfolk St,      San Mateo,37.5444733117821-122.28505220123
403,bambu-san-mateo-2,4,153 South B St,      San Mateo,37.5665365-122.3232678
404,eggettes-san-mateo,4,47 S B St,      San Mateo,37.5674099999999-122.324069999999
405,chatime-san-mateo-2,3.5,165 E 4th Ave,      San Mateo,37.56413-122.322939999999
406,tpumps-foster-city,4,985 E Hillsdale Blvd,      Foster City,37.5573531403401-122.274742340384
407,creme-brewlee-san-mateo-2,4,2948 S Norfolk St,      San Mateo,37.5448989862154-122.28502356257
408,chatime-foster-city,3.5,969A Edgewater Blvd,      Foster City,37.544739-122.271085
409,quickly-san-mateo,3.5,142 E 3rd Ave,      San Mateo,37.5643615722656-122.323524475098
410,fresh-nation-desserts-san-mateo-2,3,30 E 3rd Ave,      San Mateo,37.5633809-122.3251999
411,ya-ua-yogurt-and-boba-tea-belmont-2,4,1090 Alameda De Las Pulgas,      Belmont,37.5102232-122.293820799999
412,snacks-san-mateo-2,4.5,31 N B St,      San Mateo,37.5683427999999-122.3254578
413,dessert-republic-san-mateo,3.5,138 Main St,      San Mateo,37.5669003999999-122.3234145
414,mints-and-honey-san-carlos,4.5,1524 El Camino Real,      San Carlos,37.49613-122.2477
415,bambu-millbrae-2,4.5,203 El Camino Real,      Millbrae,37.6003797-122.3900105
416,icicles-san-mateo,4,222 E 3rd Ave,      San Mateo,37.5652198999999-122.3225
417,kingkat-bar-and-eatery-san-mateo-2,4.5,33 W 25th Ave,      San Mateo,37.54368-122.30661
418,quickly-burlingame-2,3.5,1407 Burlingame Ave,      Burlingame,37.5771875948767-122.34879302025
419,antoines-cookie-shop-san-mateo-3,4.5,220 2nd Ave,      San Mateo,37.5659547999999-122.3233725
420,quickly-foster-city-3,3,969k Edgewater Blvd,      Foster City,37.5447598999999-122.271039999999
421,moo-moo-yogurt-foster-city,4,969F Edgewater Blvd,      Foster City,37.5441112400917-122.270671007271
422,clear-optometry-san-mateo,4,138 E 3rd Ave,      San Mateo,37.5643-122.32361
423,boiling-point-san-mateo,3,111 E 4th Ave,      San Mateo,37.56386-122.32335
424,cream-san-mateo,4,134 S B St,      San Mateo,37.5665107999999-122.3237287
425,poke-island-creasian-kitchen-san-mateo,4,43 S B St,      San Mateo,37.5674055-122.324276099999
426,waterfront-cafe-burlingame,5,500 Airport Blvd,      Burlingame,37.590323-122.34142
427,never-too-latte-san-bruno-2,3.5,486 San Mateo Ave,      San Bruno,37.6241-122.41095
428,jougert-bar-burlingame,4.5,1115 Burlingame Ave,      Burlingame,37.5793126-122.345740099999
429,mini-coffee-san-mateo-2,4,800 S B St,      San Mateo,37.56167-122.31891
430,sweet-indulgence-millbrae-3,3,298 Broadway,      Millbrae,37.6007901-122.3914315
431,ramen-dojo-san-mateo,4,805 S B St,      San Mateo,37.5621429-122.3185051
432,quickly-millbrae-4,4.5,325 El Camino Real,      Millbrae,37.60147-122.39148
433,bobo-drinks-fairfield-2,3.5,1305 Gateway Blvd,      Fairfield,38.2640655855632-122.050264324325
434,t4-tea-for-u-fairfield,3,2700 N Texas St,      Fairfield,38.2767099999999-122.03353
435,peace-love-and-boba-vacaville,4,3083 Alamo Dr,      Vacaville,38.3353873467452-121.954629868269
436,halo-halo-bar-and-boba-station-suisun-city,4,303 Lawler Ctr Dr,      Suisun City,38.24225-122.01803
437,quickly-fairfield-3,2.5,1350 Travis Blvd,      Fairfield,38.2603729-122.054640099999
438,tutti-frutti-fairfield-2,4,3334 N Texas St,      Fairfield,38.2890102925701-122.033686637877
439,sharetea-concord-3,4,1850 Mount Diablo St,      Concord,37.9761596024036-122.033636346459
440,i-tea-pittsburg,4,2121 Loveridge Rd,      Pittsburg,38.0108707398176-121.868887022138
441,quickly-vallejo-12,3.5,145 Plaza Dr,      Vallejo,38.1340827941895-122.21915435791
442,teazentea-brentwood-3,4.5,1135 2nd St,      Brentwood,37.9369147127279-121.698112115264
443,quickly-vacaville,2.5,1667 E Monte Vista Ave,      Vacaville,38.3700576-121.961772
444,mandro-teahouse-davis,4,1260 Lake Blvd,      Davis,38.5541889-121.7869827
445,tapioca-express-vallejo,3,3720 Sonoma Blvd,      Vallejo,38.125256896019-122.255262583494
446,okashi-fusion-vacaville,4.5,1679 E Monte Vista Ave,      Vacaville,38.3703303337097-121.959481313825
447,cafe-tapioca-hercules,4,1581 Sycamore Ave,      Hercules,38.00996-122.270604
448,pho-saigon-no-1-vietnamese-restaurant-fairfield-2,4,1972 N Texas St,      Fairfield,38.26504-122.033139999999
449,ontap-davis,4,825 Russell Blvd,      Davis,38.5465253999999-121.7607466
450,t4-antioch-12,4,4532 Lone Tree Way,      Antioch,37.9659262678636-121.780671279596
451,bobaloca-concord-4,3.5,1843 Willow Pass Rd,      Concord,37.9749903198783-122.038871629666
452,teabo-café-davis,3.5,2191 Cowell Blvd,      Davis,38.5407655197016-121.724717874066
453,lazi-cow-davis,3.5,407 G St,      Davis,38.5465-121.74006
454,t4-san-pablo-3,4,13350 San Pablo Ave,      San Pablo,37.954766898894-122.334166861144
455,t4-concord-concord,3.5,2151 Salvio St,      Concord,37.9776375471723-122.034577466548
456,dragon-snow-el-sobrante,3.5,3550 San Pablo Dam Rd,      El Sobrante,37.96301-122.31987
457,cj-fusion-fairfield,3.5,201 Travis Blvd,      Fairfield,38.25803-122.03509
458,gong-cha-davis,3.5,1411 W Covell Blvd,      Davis,38.5620003834934-121.765583911777
459,suisun-seafood-center-suisun-city,3.5,303 Lawler Center Dr,      Suisun City,38.24225-122.01803
460,teaone-davis,3.5,213 E St,      Davis,38.5436287-121.7415001
461,quickly-brentwood-brentwood,4.5,2415 Empire Ave,      Brentwood,37.9603143999999-121.7326581
462,t4-davis-3,4,132 E St,      Davis,38.5430607163953-121.740498058498
463,bangkok-paradise-fairfield,4,3344 N Texas St,      Fairfield,38.29174-122.03293
464,easel-davis-2,4.5,620 W Covell Blvd,      Davis,38.5603285349925-121.757062978432
465,sharetea-davis-davis-2,3.5,207 3rd St,      Davis,38.5436861078294-121.746784233134
466,the-old-teahouse-davis-3,4,825 Russell Blvd,      Davis,38.5465253999999-121.7607466
467,pho-lee-hoa-phat-fairfield,3.5,870 E Travis,      Fairfield,38.2583578295892-122.020811644487
468,skyview-noodle-and-tea-pittsburg-3,4.5,200 E 3rd St,      Pittsburg,38.0329401103612-121.882134117186
469,noodle-house-fairfield-2,3,1305 Gateway Blvd,      Fairfield,38.263944-122.050281
470,sisig-suisun-city-3,3,303 Lawler Center Dr,      Suisun City,38.24225-122.01803
471,rrags-caffe-benicia,4.5,1383 E 2nd St,      Benicia,38.0543339252472-122.152609080076
472,yumygurt-pinole,4,2701 Pinole Valley Rd,      Pinole,37.9952735900879-122.285331726074
473,vampire-penguin-brentwood-2,3,2545 Sand Creek Rd,      Brentwood,37.946219-121.738762
474,going-green-martinez,4.5,1160 Arnold Dr,      Martinez,37.9934616-122.1024094
475,quickly-antioch-2,3.5,212 E 18th St,      Antioch,38.004497387479-121.799923304048
476,pho-lee-hoa-phat-vacaville,3.5,88 Peabody Rd,      Vacaville,38.3539886474609-121.978248596191
477,ice-monster-walnut-creek,4,2230 Oak Grove Rd,      Walnut Creek,37.9297795146704-122.016731053591
478,t4-walnut-creek,3.5,1815 Ygnacio Valley Rd,      Walnut Creek,37.9174137-122.0375497
479,chalogy-tea-bar-walnut-creek-4,3.5,1349 Locust St,      Walnut Creek,37.8981-122.06206
480,mr-green-bubble-walnut-creek-2,3.5,1539 Locust St,      Walnut Creek,37.9000639934234-122.062495370938
481,cool-tea-bar-danville-4,4,251 Hartz Ave,      Danville,37.8227538431367-122.001181084905
482,quickly-concord-5,3,4115 Concord Blvd,      Concord,37.97879750393-121.992360118227
483,quickly-concord,2.5,1657 Willow Pass Rd,      Concord,37.9728660583496-122.043716430664
484,t4-and-poke-walnut-creek,3.5,1385C N Main St,      Walnut Creek,37.89883-122.06105
485,i-tea-moraga-3,4.5,1460 Moraga Rd,      Moraga,37.8353491-122.1264706
486,panache-caffe-lafayette,4,3653 Mt Diablo Blvd,      Lafayette,37.8906068-122.127733299999
487,coco-swirl-pleasant-hill,4,35 Crescent Dr,      Pleasant Hill,37.94665-122.061619999999
488,surf-city-squeeze-concord,3.5,282 Sun Valley Mall,      Concord,37.9672766-122.0621762
489,hello-pho-concord,4,1701 Monument Blvd,      Concord,37.95516-122.04158
490,harvest-house-concord,4,2395 Monument Blvd,      Concord,37.9603599999999-122.03578
491,i-love-teriyaki-and-sushi-concord-2,3.5,1950 Salvio St,      Concord,37.9762523253409-122.037221553584
492,cornology-walnut-creek-3,4.5,1349 Locust St,      Walnut Creek,37.8981-122.06206
493,saigon-bistro-concord,3.5,1701 Willow Pass Rd,      Concord,37.974103-122.041692
494,99-ranch-market-concord-2,3.5,1795 Willow Pass Rd,      Concord,37.974712-122.039859
495,double-rainbow-cafe-benicia,3.5,560 1st St,      Benicia,38.04837-122.15871
496,blue-saigon-pittsburg,4.5,2243 Railroad Ave,      Pittsburg,38.0134741-121.8905534
497,jollibee-concord,3,2030 Diamond Blvd,      Concord,37.97341-122.0557
498,pho-huynh-hiep-5-kevins-noodle-house-concord,3.5,1833 Willow Pass Rd,      Concord,37.97514-122.03901
499,pho-lee-hoa-phat-pleasant-hill,3.5,508 Contra Costa Blvd,      Pleasant Hill,37.980899-122.068382
500,pho-huynh-hiep-6-kevins-noodle-house-walnut-creek,4,2034 N Main St,      Walnut Creek,37.9079856872558-122.064300537108
501,smitten-ice-cream-lafayette,3.5,3545 Mt Diablo Blvd,      Lafayette,37.8916207-122.1198696
502,aung-maylika-benicia-4,4.5,836 Southampton Rd,      Benicia,38.066112359505-122.165491386026
503,izzyas-frozen-custard-lafayette-2,4.5,,      Lafayette,37.89301-122.12063
504,yogurtland-pleasant-hill,4,2390 Monument Blvd,      Pleasant Hill,37.9448334310086-122.056119731669
505,golden-bakery-pittsburg,5,2229 Railroad Ave,      Pittsburg,38.0136496-121.8904874
506,tutti-frutti-montclair-oakland,4,2066 Mountain Blvd,      Oakland,37.8261642-122.209205599999
507,tangelo-frozen-yogurt-moraga,4.5,384 Park St,      Moraga,37.8600274754793-122.125603221525
508,surf-city-squeeze-antioch,3.5,2556 Somersville Rd,      Antioch,38.0000664-121.841951799999
509,lv-vietnamese-pho-and-sandwiches-vallejo,4,2621 Springs Rd,      Vallejo,38.1054840087891-122.207710266113
510,korea-house-concord,4,1835 Willow Pass Rd,      Concord,37.97514-122.038739999999
511,yo-sushi-martinez,3.5,1029 Arnold Dr,      Martinez,37.9969242-122.1078972
512,lulus-kitchen-concord,4,1657 Willow Pass Rd,      Concord,37.9728762316744-122.043781183031
513,pho-hoa-an-pleasant-hill,3,1617 Contra Costa Blvd,      Pleasant Hill,37.9544806480407-122.060296833515
514,saigon-bistro-restaurant-pittsburg,3.5,4285 Century Blvd,      Pittsburg,38.0068147913603-121.841531507671
515,pho-lee-hoa-phat-pittsburg-5,3.5,140 E Leland Rd,      Pittsburg,38.0114778891117-121.889719069004
516,viet-nam-noodle-house-antioch-4,4,3676 Delta Fair Blvd,      Antioch,38.0040780947741-121.844287128215
517,little-hearty-noodle-moraga-2,3.5,578 Center St,      Moraga,37.8578085-122.1258359
518,bubble-loca-richmond,3.5,3288 Pierce St,      Richmond,37.8988113-122.3075638
519,ten-ren-tea-co-richmond,4,3288 Pierce St,      Richmond,37.8987543089592-122.307458450512
520,tala-coffee-and-tea-el-cerrito-2,3.5,10734 San Pablo Ave,      El Cerrito,37.9131379268406-122.309712024741
521,sharetea-san-rafael-3,3.5,967 Grand Ave,      San Rafael,37.9717057943344-122.518760114908
522,tpartea-boba-drinks-and-banh-mi-san-rafael-3,3.5,5800 Northgate Dr,      San Rafael,38.0039492652398-122.5438844508
523,sunny-day-sweet-house-richmond,3.5,3288 Pierce St,      Richmond,37.89881-122.30756
524,aloha-pure-water-shaved-ice-san-pablo,4.5,2300 El Portal Dr,      San Pablo,37.966045-122.343246
525,world-wrapps-corte-madera-7,4.5,208 Corte Madera Town Ctr,      Corte Madera,37.9283378273249-122.518047988414
526,quickly-el-cerrito,3,3080 El Cerrito Plz,      El Cerrito,37.9012082234262-122.299600839615
527,tay-tah-cafe-albany,3.5,1182 Solano Ave,      Albany,37.8902299999999-122.29626
528,sweetheart-cafe-berkeley,3.5,2523 Durant Ave,      Berkeley,37.8680525-122.258168
529,teaone-berkeley-berkeley,3.5,2380 Telegraph Ave,      Berkeley,37.86727-122.25905
530,quickly-kobe-bento-richmond-2,2,3288 Pierce St,      Richmond,37.8988979999999-122.307341
531,quickly-san-rafael,3,1128 4th St,      San Rafael,37.9733537-122.528937999999
532,sivans-cafe-hayward,4.5,766 A St,      Hayward,37.67244-122.08685
533,honey-bear-smoothie-tea-and-dessert-hayward,5,1 Southland Mall Dr,      Hayward,37.6542332-122.1048419
534,sharetea-san-ramon,4,2441 San Ramon Valley Blvd,      San Ramon,37.7747421264647-121.977684020996
535,t4-castro-valley,3.5,18911 Lake Chabot Rd,      Castro Valley,37.70864-122.091339999999
536,quickly-hayward,2.5,25034 Hesperian Blvd,      Hayward,37.6443550220492-122.104630560233
537,8-twelve-oriental-market-san-leandro,4,596 E 14th St,      San Leandro,37.7310477-122.1605656
538,polaris-ice-cream-rolls-hayward,4,595 Southland Mall,      Hayward,37.652548372651-122.106453901274
539,milkcow-castro-valley,3.5,3223 Castro Valley Blvd,      Castro Valley,37.69529-122.07956
540,satori-tea-company-saratoga,3.5,14482 Big Basin Way,      Saratoga,37.2574696-122.0335427
541,creative-sips-san-jose,4,,      San Jose,37.3136978149414-121.946624755858
542,saratoga-bagels-saratoga,4.5,12840 Saratoga Sunnyvale Rd,      Saratoga,37.282037944475-122.03191663334
543,snowflake-san-jose,3.5,4306 Moorpark Ave,      San Jose,37.3155981167824-121.977282188172
544,steepers-campbell,4.5,346 E Campbell Ave,      Campbell,37.28691-121.94397
545,yodo-yogurt-campbell,3.5,2475 S Winchester Blvd,      Campbell,37.2784787-121.9497792
546,caffé-central-santa-clara,2.5,2855 Stevens Creek Blvd,      Santa Clara,37.3260982962994-121.944144442677
547,bar-code-santa-clara,3,2855 Stevens Crk Blvd,      Santa Clara,37.3260983428105-121.945618966269
548,jovie-coffee-and-pho-campbell,3.5,136 N San Tomas Aquino,      Campbell,37.2878194445875-121.975211858331
549,tous-les-jours-santa-clara,3.5,3535 Homestead Rd,      Santa Clara,37.33882-121.99497
550,menchies-frozen-yogurt-vallejo,4.5,972 Admiral Callaghan Ln,      Vallejo,38.133641-122.222463999999
551,starbread-bakery-vallejo,4.5,3718 Sonoma Blvd,      Vallejo,38.1253132837656-122.254159189761
552,pho-1-vallejo,4,3885 Sonoma Blvd,      Vallejo,38.1266670227051-122.256126403808
553,sunshine-bakery-vallejo-3,3,3570 Sonoma Blvd,      Vallejo,38.1221466064453-122.254501342773
554,original-red-onion-vallejo-2,3,1321 Springs Rd,      Vallejo,38.10589-122.227089999999
555,yo-sushi-vallejo-2,3.5,114 Robles Way,      Vallejo,38.0837651342154-122.211666628717
556,midori-japanese-cuisine-vallejo,3.5,3440 Sonoma Blvd,      Vallejo,38.1214397080506-122.254726908082
557,pho-lee-hoa-phat-vallejo-2,3,102 Springstowne Ctr,      Vallejo,38.10499-122.215319999999
558,pho-saigon-village-noodle-house-vallejo,4.5,3636 Sonoma Blvd,      Vallejo,38.1238496636738-122.253961014274
559,pho-lee-hoa-phat-2-vallejo-3,3,3495 Sonoma Blvd,      Vallejo,38.1224127025498-122.258621526624
560,chowking-vallejo,3,3495 Sonoma Blvd,      Vallejo,38.121818-122.2554405
561,tacos-jalisco-vallejo,4,3420 Sonoma Blvd,      Vallejo,38.1211891174316-122.254600524902
562,menchies-frozen-yogurt-belmont-2,4,1200 El Camino Real,      Belmont,37.5189045-122.2744648
563,fashion-wok-foster-city,4,929 A Edgewater Blvd,      Foster City,37.5452836454887-122.27046500734
564,pho-new-saigon-foster-city,3.5,1088 Foster City Blvd,      Foster City,37.5532937-122.2565492
